=== Melody Generator Diagnostic Log ===
BPM: 120, Density: 0.9, Shortest Limit: 16

--- Chord Index 0: I (Key Root: 60) ---
  Step Time: 0s, Pitch: 67 (Duration: 0.106s)
  Step Time: 0.125s, Pitch: 69 (Duration: 0.106s)
  Step Time: 0.25s, Pitch: 71 (Duration: 0.106s)
  Step Time: 0.375s, Pitch: 72 (Duration: 0.106s)
  Step Time: 0.5s, Pitch: 74 (Duration: 0.142s)
  Step Time: 0.667s, Pitch: 76 (Duration: 0.142s)
  Step Time: 0.833s, Pitch: 77 (Duration: 0.142s)
  Step Time: 1s, Pitch: 67 (Duration: 0.425s)
  Step Time: 1.5s, Pitch: 72 (Duration: 0.142s)
  Step Time: 1.667s, Pitch: 71 (Duration: 0.142s)
  Step Time: 1.833s, Pitch: 72 (Duration: 0.142s)
--- Chord Index 1: V (Key Root: 60) ---
  Step Time: 2s, Pitch: 71 (Duration: 0.106s)
  Step Time: 2.125s, Pitch: 69 (Duration: 0.106s)
  Step Time: 2.25s, Pitch: 67 (Duration: 0.106s)
  Step Time: 2.375s, Pitch: 69 (Duration: 0.106s)
  Step Time: 2.5s, Pitch: 71 (Duration: 0.142s)
  Step Time: 2.667s, Pitch: 72 (Duration: 0.283s)
  Step Time: 3s, Pitch: 74 (Duration: 0.142s)
  Step Time: 3.167s, Pitch: 76 (Duration: 0.142s)
  Step Time: 3.333s, Pitch: 79 (Duration: 0.142s)
  Step Time: 3.564s, Pitch: 78 (Duration: 0.149s)
  Step Time: 3.75s, Pitch: 71 (Duration: 0.212s)
--- Chord Index 2: vi (Key Root: 60) ---
  Step Time: 4s, Pitch: 76 (Duration: 0.106s)
  Step Time: 4.125s, Pitch: 74 (Duration: 0.106s)
  Step Time: 4.25s, Pitch: 72 (Duration: 0.106s)
  Step Time: 4.375s, Pitch: 71 (Duration: 0.106s)
  Step Time: 4.5s, Pitch: 69 (Duration: 0.106s)
  Step Time: 4.625s, Pitch: 67 (Duration: 0.106s)
  Step Time: 4.75s, Pitch: 69 (Duration: 0.212s)
  Step Time: 5s, Pitch: 76 (Duration: 0.212s)
  Step Time: 5.25s, Pitch: 74 (Duration: 0.106s)
  Step Time: 5.375s, Pitch: 72 (Duration: 0.106s)
  Step Time: 5.5s, Pitch: 71 (Duration: 0.106s)
  Step Time: 5.625s, Pitch: 69 (Duration: 0.106s)
  Step Time: 5.75s, Pitch: 67 (Duration: 0.106s)
  Step Time: 5.875s, Pitch: 69 (Duration: 0.106s)
--- Chord Index 3: IV (Key Root: 60) ---
  Step Time: 6s, Pitch: 77 (Duration: 0.106s)
  Step Time: 6.125s, Pitch: 76 (Duration: 0.106s)
  Step Time: 6.25s, Pitch: 74 (Duration: 0.106s)
  Step Time: 6.375s, Pitch: 72 (Duration: 0.106s)
  Step Time: 6.5s, Pitch: 69 (Duration: 0.425s)
  Step Time: 7s, Pitch: 77 (Duration: 0.106s)
  Step Time: 7.125s, Pitch: 72 (Duration: 0.106s)
  Step Time: 7.25s, Pitch: 74 (Duration: 0.106s)
  Step Time: 7.375s, Pitch: 76 (Duration: 0.319s)
  Step Time: 7.75s, Pitch: 72 (Duration: 0.212s)
